ubicacion_original,provincia_normalizada_actual,codigo_provincia_actual,localidad_normalizada_actual,cantidad_ofertas,ejemplo_id_oferta,score_ambiguedad,nivel_ambiguedad,provincia_normalizada_CORRECTA,codigo_provincia_CORRECTO,localidad_normalizada_CORRECTA,comentarios
"Mar del Plata, Buenos Aires",Buenos Aires,06,Mar del Plata,61,2162670,40,ALTA,Buenos Aires,06,Mar del Plata,"La ubicación original menciona 'Mar del Plata, Buenos Aires', lo que sugiere que se refiere a la ciudad de Mar del Plata en la provincia de Buenos Aires. La descripción no contiene pistas geográficas que indiquen que se trata de CABA o el GBA. (conf: 0.95)"
"Quilmes, Buenos Aires",Buenos Aires,06,Quilmes,60,2136652,40,ALTA,Buenos Aires,06,Quilmes,"La descripción de la oferta menciona 'Quilmes, Buenos Aires', lo que indica que se refiere a una localidad dentro de la provincia de Buenos Aires. La normalización actual asigna el código 06 a la provincia de Buenos Aires y la localidad de Quilmes. (conf: 0.95)"
"Munro, Buenos Aires",Buenos Aires,06,Munro,59,2164506,40,ALTA,Buenos Aires,06,Munro,"La descripción de la oferta menciona 'Munro, Buenos Aires', lo que sugiere que se refiere a una localidad en la provincia de Buenos Aires. La normalización actual asigna el código 06 (Buenos Aires) y la localidad Munro, lo que parece correcto. (conf: 0.95)"
"Olivos, Buenos Aires",Buenos Aires,06,Olivos,54,2162072,40,ALTA,Buenos Aires,06,Olivos,"La descripción de la oferta menciona 'Olivos, Buenos Aires', lo que sugiere que se refiere a un barrio del Gran Buenos Aires (GBA). Según las reglas críticas, los municipios del GBA deben tener código 06. (conf: 0.95)"
"Ezeiza, Buenos Aires",Buenos Aires,06,Ezeiza,52,2164740,40,ALTA,Buenos Aires,06,Ezeiza,"La descripción de la oferta laboral menciona 'Polo Industrial de Ezeiza', lo que sugiere que se refiere a una localidad dentro de la provincia de Buenos Aires. La ubicación original es 'Ezeiza, Buenos Aires' y el código INDEC asignado es 06, que corresponde a la provincia de Buenos Aires. (conf: 0.95)"
"General Pacheco, Buenos Aires",Buenos Aires,06,General Pacheco,50,2162220,40,ALTA,Buenos Aires,06,General Pacheco,"La descripción de la oferta menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que General Pacheco es una localidad del Gran Buenos Aires (GBA), el código INDEC correcto es 06. (conf: 0.90)"
"Garin, Buenos Aires",Buenos Aires,06,Garin,49,2164672,40,ALTA,Buenos Aires,06,Garin,"La descripción de la oferta menciona 'Zona Norte de la Industria Farmacéutica', lo que sugiere que se refiere a un área específica dentro del Gran Buenos Aires (GBA), no a la Ciudad Autónoma de Buenos Aires (CABA). Además, el código INDEC 06 corresponde a la provincia de Buenos Aires y la localidad mencionada es Garin. (conf: 0.95)"
"Lomas de Zamora, Buenos Aires",Buenos Aires,06,Lomas de Zamora,47,2162602,40,ALTA,Buenos Aires,06,Lomas de Zamora,"La descripción de la oferta menciona 'Lomas de Zamora, Buenos Aires', lo que sugiere que se refiere a una localidad del Gran Buenos Aires (GBA). Por lo tanto, la provincia correcta es Buenos Aires y el código INDEC correspondiente es 06. La localidad correcta también es Lomas de Zamora. (conf: 0.95)"
"Tortuguitas, Buenos Aires",Buenos Aires,06,Tortuguitas,47,2162997,40,ALTA,Buenos Aires,06,Tortuguitas,"La descripción de la oferta menciona 'Zona Norte' y 'Buenos Aires', lo que sugiere que se refiere a un municipio del Gran Buenos Aires (GBA). La normalización actual asigna el código 06, que corresponde a la provincia de Buenos Aires. Sin embargo, dado que Tortuguitas es una localidad dentro de la provincia de Buenos Aires y no es la capital provincial, el código correcto para la provincia es 06. (conf: 0.95)"
"Moreno, Buenos Aires",Buenos Aires,06,Moreno,46,2126626,40,ALTA,Buenos Aires,06,Moreno,"La descripción de la oferta laboral menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que la ubicación original es 'Moreno, Buenos Aires', es probable que se esté refiriendo a la provincia y no a la ciudad. Por lo tanto, la normalización actual es incorrecta. (conf: 0.90)"
"San Miguel, Buenos Aires",Buenos Aires,06,San Miguel,45,2162786,40,ALTA,Buenos Aires,06,San Miguel,"La ubicación original menciona 'San Miguel, Buenos Aires', lo que sugiere que se refiere a la localidad de San Miguel en la provincia de Buenos Aires. La descripción no menciona características únicas del GBA (Gran Buenos Aires) que justifiquen el uso del código 06. (conf: 0.90)"
"Morón, Buenos Aires",Buenos Aires,06,Morón,36,2162420,40,ALTA,Buenos Aires,06,Morón,"La ubicación original menciona 'Morón, Buenos Aires', lo que indica que se refiere a la localidad de Morón en la provincia de Buenos Aires. La normalización actual asignó código 06 (Buenos Aires) y localidad Morón, lo que es correcto. (conf: 0.95)"
"Ramos Mejía, Buenos Aires",Buenos Aires,06,Ramos Mejía,35,2161887,40,ALTA,Buenos Aires,06,Ramos Mejía,"La descripción de la oferta menciona 'Zona oeste' y 'Ramos Mejía, Buenos Aires', lo que sugiere que se refiere a un barrio del Gran Buenos Aires (GBA). Por lo tanto, la normalización actual es incorrecta. (conf: 0.95)"
"Canning, Buenos Aires",Buenos Aires,06,Canning,31,2144364,40,ALTA,Buenos Aires,06,Canning,"La descripción de la oferta menciona 'Buenos Aires' y 'Canning (Ezeiza)', lo que sugiere que se refiere a una localidad del Gran Buenos Aires. La provincia correcta es Buenos Aires, el código INDEC corresponde al GBA y la localidad correcta es Canning. (conf: 0.95)"
"Ituzaingó, Buenos Aires",Buenos Aires,06,Ituzaingó,31,2163320,40,ALTA,Buenos Aires,06,Ituzaingó,"La descripción de la oferta menciona 'Ituzaingó, Buenos Aires', lo que sugiere que se refiere a una localidad del Gran Buenos Aires (GBA). La provincia correcta es Buenos Aires y el código INDEC correspondiente es 06. La localidad correcta también es Ituzaingó. (conf: 0.95)"
"San Justo, Buenos Aires",Buenos Aires,06,San Justo,30,2162307,40,ALTA,Buenos Aires,06,San Justo,"La descripción de la oferta menciona 'San Justo, Buenos Aires', lo que sugiere que se refiere a una localidad dentro de la provincia de Buenos Aires. La normalización actual asigna el código 06 (Buenos Aires) y la localidad San Justo, lo que parece correcto. (conf: 0.90)"
"Caseros, Buenos Aires",Buenos Aires,06,Caseros,29,2163560,40,ALTA,Buenos Aires,06,Caseros,"La descripción de la oferta menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que Caseros es una localidad del Gran Buenos Aires (GBA), es probable que el código INDEC correcto sea 06. (conf: 0.80)"
"Burzaco, Buenos Aires",Buenos Aires,06,Burzaco,28,1116588166,40,ALTA,Buenos Aires,06,Burzaco,"La ubicación original menciona 'Buenos Aires' sin especificar si se refiere a la provincia o la ciudad. Sin embargo, dado que Burzaco es una localidad del Gran Buenos Aires (GBA), es probable que el código INDEC correcto sea 06. (conf: 0.80)"
"Campana, Buenos Aires",Buenos Aires,06,Campana,28,2162842,40,ALTA,Buenos Aires,06,Campana,"La descripción de la oferta menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que Campana es una localidad del Gran Buenos Aires (GBA), es probable que el código INDEC correcto sea 06. (conf: 0.80)"
"General Rodríguez, Buenos Aires",Buenos Aires,06,General Rodríguez,28,2163018,40,ALTA,Buenos Aires,06,General Rodríguez,"La ubicación original menciona 'General Rodríguez, Buenos Aires', lo que sugiere que se refiere a una localidad dentro de la provincia de Buenos Aires. La descripción no contiene pistas geográficas que indiquen que se trata del CABA (Capital Federal). Por tanto, la normalización actual es incorrecta. (conf: 0.95)"
"San Fernando, Buenos Aires",Buenos Aires,06,San Fernando,27,2158781,40,ALTA,Buenos Aires,06,San Fernando,"La descripción de la oferta menciona 'Pcia de Buenos Aires' y 'San Fernando', lo que indica que se refiere a la provincia de Buenos Aires y la localidad de San Fernando, no a la Ciudad Autónoma de Buenos Aires (CABA). La normalización actual asigna el código 06 para la provincia de Buenos Aires, que es correcto. (conf: 0.95)"
"Zarate, Buenos Aires",Buenos Aires,06,Zarate,27,2168145,40,ALTA,Buenos Aires,06,Zarate,"La ubicación original menciona 'Zarate, Buenos Aires', lo que sugiere que se refiere a la localidad de Zarate en la provincia de Buenos Aires. La descripción de la oferta laboral no proporciona pistas geográficas adicionales que sugieran una ubicación diferente. (conf: 0.90)"
"Lanús Oeste, Buenos Aires",Buenos Aires,06,Lanús Oeste,26,2133690,40,ALTA,Buenos Aires,06,Lanús Oeste,"La descripción de la oferta menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que la ubicación original es 'Lanús Oeste, Buenos Aires', es probable que se refiera a la localidad de Lanús Oeste en la provincia de Buenos Aires. (conf: 0.90)"
"Sáenz Pena, Buenos Aires",Buenos Aires,06,Sáenz Pena,23,1117964359,40,ALTA,Buenos Aires,06,,"La ubicación original menciona 'Sáenz Pena, Buenos Aires', lo que sugiere que se refiere a la localidad de Sáenz Peña en la provincia de Chaco. Sin embargo, el código INDEC asignado es 06, que corresponde a la provincia de Buenos Aires y no a Chaco. (conf: 0.90)"
"Don Torcuato, Buenos Aires",Buenos Aires,06,Don Torcuato,22,2163341,40,ALTA,Buenos Aires,06,Don Torcuato,"La ubicación original menciona 'Don Torcuato, Buenos Aires', lo que sugiere que se refiere a un barrio de la provincia de Buenos Aires. La descripción de la oferta no proporciona pistas adicionales para determinar si se trata de CABA o GBA. (conf: 0.80)"
"Boulogne, Buenos Aires",Buenos Aires,06,Boulogne,20,2166188,40,ALTA,Buenos Aires,06,Boulogne,"La descripción de la oferta menciona 'Boulogne, Buenos Aires', lo que sugiere que se refiere a una localidad dentro de la provincia de Buenos Aires. La normalización actual asigna el código 06 a la provincia de Buenos Aires, pero no especifica la localidad. Sin embargo, dado que Boulogne es una localidad dentro de la provincia de Buenos Aires y no es un barrio de CABA, la normalización actual es incorrecta. (conf: 0.95)"
"Lomas del Mirador, Buenos Aires",Buenos Aires,06,Lomas del Mirador,20,2162543,40,ALTA,Buenos Aires,06,Lomas del Mirador,"La ubicación original menciona 'Buenos Aires' sin especificar si se refiere a la provincia o la ciudad. Sin embargo, dado que la descripción de la oferta laboral menciona 'Zona Oeste', lo que sugiere que se encuentra en el Gran Buenos Aires (GBA), y no en la Ciudad Autónoma de Buenos Aires (CABA). Por lo tanto, la normalización actual es incorrecta. (conf: 0.90)"
"Berazategui, Buenos Aires",Buenos Aires,06,Berazategui,19,2163967,40,ALTA,Buenos Aires,06,Berazategui,"La ubicación original menciona 'Buenos Aires' sin especificar si se refiere a la provincia o la ciudad. Sin embargo, dado que Berazategui es una localidad del Gran Buenos Aires (GBA), y el código INDEC para municipios del GBA es 06, consideramos que la normalización actual es incorrecta. (conf: 0.90)"
"Quilmes Oeste, Buenos Aires",Buenos Aires,06,Quilmes Oeste,19,2166414,40,ALTA,Buenos Aires,06,Quilmes Oeste,"La descripción de la oferta menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que Quilmes Oeste es una localidad del Gran Buenos Aires (GBA), es probable que el código INDEC correcto sea 06. (conf: 0.80)"
"Florencio Varela, Buenos Aires",Buenos Aires,06,Florencio Varela,18,2162893,40,ALTA,Buenos Aires,06,Florencio Varela,"La descripción de la oferta menciona 'Zona Sur' y 'Florencio Varela', lo que sugiere que se refiere a una localidad del Gran Buenos Aires (GBA). La provincia asignada es correcta, pero el código INDEC asignado debería ser 06 en lugar de 02. (conf: 0.90)"
"Gran Buenos Aires, Buenos Aires",Buenos Aires,06,Gran Buenos Aires,18,2164357,40,ALTA,Buenos Aires,06,Gran Buenos Aires,"La ubicación original menciona 'Gran Buenos Aires, Buenos Aires', lo que sugiere que se refiere a la provincia de Buenos Aires y no a la Ciudad Autónoma de Buenos Aires. La descripción de la oferta laboral no contiene pistas geográficas que indiquen una localidad específica dentro del Gran Buenos Aires. (conf: 0.95)"
"Lanús Este, Buenos Aires",Buenos Aires,06,Lanús Este,18,2161563,40,ALTA,Buenos Aires,06,Lanús Este,"La ubicación original menciona 'Lanús Este, Buenos Aires', lo que sugiere que se refiere a una localidad dentro de la provincia de Buenos Aires. La descripción no menciona 'Capital Federal' ni 'Ciudad de Buenos Aires', por lo que es probable que esté en la provincia 06. (conf: 0.90)"
"Escobar, Buenos Aires",Buenos Aires,06,Escobar,17,2162427,40,ALTA,Buenos Aires,06,Escobar,"La descripción de la oferta menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que Escobar es una localidad del Gran Buenos Aires (GBA), es probable que el código INDEC correcto sea 06. (conf: 0.80)"
"Florida Oeste, Buenos Aires",Buenos Aires,06,Florida Oeste,17,2164339,40,ALTA,Buenos Aires,06,Florida Oeste,"La descripción de la oferta menciona 'GBA' (Gran Buenos Aires), lo que indica que se refiere a una localidad del área metropolitana de Buenos Aires, pero no a la ciudad de Buenos Aires capital federal. Por tanto, la provincia correcta es Buenos Aires y el código INDEC correspondiente es 06. (conf: 0.95)"
"La Matanza, Buenos Aires",Buenos Aires,06,La Matanza,17,2164280,40,ALTA,Buenos Aires,06,La Matanza,"La descripción de la oferta menciona 'Zona Oeste' y 'La Matanza, Buenos Aires', lo que sugiere que se refiere a un municipio del Gran Buenos Aires (GBA). Por tanto, la provincia correcta es Buenos Aires, el código INDEC 06 y la localidad correcta es La Matanza. (conf: 0.95)"
"Loma Hermosa, Buenos Aires",Buenos Aires,06,Loma Hermosa,16,2165990,40,ALTA,Buenos Aires,06,Loma Hermosa,"La ubicación original menciona 'Buenos Aires' sin especificar si se refiere a la provincia o la ciudad. Sin embargo, dado que la localidad asignada es 'Loma Hermosa', que es un barrio del Gran Buenos Aires (GBA), y no una localidad de la Ciudad Autónoma de Buenos Aires (CABA), podemos inferir que el código INDEC 06 es correcto. (conf: 0.90)"
"Spegazzini, Buenos Aires",Buenos Aires,06,Spegazzini,16,2168019,40,ALTA,Buenos Aires,06,,"La ubicación original menciona 'Spegazzini, Buenos Aires', lo que sugiere una localidad dentro de la provincia de Buenos Aires. El código INDEC asignado es 06, que corresponde a la provincia de Buenos Aires. Sin embargo, no se especifica la localidad exacta, por lo que no puedo determinarla con certeza. (conf: 0.80)"
"El Talar, Buenos Aires",Buenos Aires,06,El Talar,15,2155862,40,ALTA,Buenos Aires,06,El Talar,"La descripción de la oferta menciona 'Buenos Aires' como provincia, lo que es correcto. Sin embargo, el código INDEC asignado es incorrecto porque El Talar es un municipio del Gran Buenos Aires (GBA), por lo que debería ser código 06 en lugar de CABA (código 02). (conf: 0.90)"
"Villa Martelli, Buenos Aires",Buenos Aires,06,Villa Martelli,15,1117951564,40,ALTA,Buenos Aires,02,Villa Martelli,"La ubicación original menciona 'Villa Martelli, Buenos Aires', lo que sugiere que se refiere a la localidad de Villa Martelli en la provincia de Buenos Aires. Sin embargo, el código INDEC asignado es 06, que corresponde a la provincia de Buenos Aires pero no específicamente a la localidad de Villa Martelli. (conf: 0.90)"
"Belén de Escobar, Buenos Aires",Buenos Aires,06,Belén de Escobar,14,1117923625,40,ALTA,Buenos Aires,06,Belén de Escobar,"La ubicación original menciona 'Buenos Aires' y la localidad asignada es 'Belén de Escobar', lo que sugiere que se refiere a la provincia de Buenos Aires. El código INDEC asignado es incorrecto, ya que corresponde a la ciudad de Buenos Aires. (conf: 0.90)"
